name,registeredUsers,appOpens,year,quarter,state
east kameng district,1075,4146,2019,2,arunachal-pradesh
lohit district,5485,32550,2019,2,arunachal-pradesh
lepa rada district,903,4196,2019,2,arunachal-pradesh
lower dibang valley district,2842,12669,2019,2,arunachal-pradesh
longding district,1420,13256,2019,2,arunachal-pradesh
west siang district,3393,15972,2019,2,arunachal-pradesh
kamle district,212,972,2019,2,arunachal-pradesh
upper siang district,1372,2710,2019,2,arunachal-pradesh
kurung kumey district,481,2171,2019,2,arunachal-pradesh
siang district,831,3209,2019,2,arunachal-pradesh
kra daadi district,440,2639,2019,2,arunachal-pradesh
changlang district,6884,37725,2019,2,arunachal-pradesh
pakke kessang district,211,1237,2019,2,arunachal-pradesh
east siang district,7319,34596,2019,2,arunachal-pradesh
upper subansiri district,2355,9043,2019,2,arunachal-pradesh
tawang district,5908,32103,2019,2,arunachal-pradesh
namsai district,3914,18627,2019,2,arunachal-pradesh
lower subansiri district,2928,42877,2019,3,arunachal-pradesh
tirap district,3099,49222,2019,3,arunachal-pradesh
papum pare district,38845,582435,2019,3,arunachal-pradesh
anjaw district,1358,19509,2019,3,arunachal-pradesh
lower siang district,1689,25736,2019,3,arunachal-pradesh
dibang valley district,271,1436,2019,3,arunachal-pradesh
west kameng district,11186,260068,2019,3,arunachal-pradesh
shi yomi district,239,158,2019,3,arunachal-pradesh
east kameng district,1304,19974,2019,3,arunachal-pradesh
lohit district,6421,112322,2019,3,arunachal-pradesh
lepa rada district,1064,13695,2019,3,arunachal-pradesh
lower dibang valley district,3398,43057,2019,3,arunachal-pradesh
longding district,1634,46571,2019,3,arunachal-pradesh
west siang district,4101,64241,2019,3,arunachal-pradesh
kamle district,258,3686,2019,3,arunachal-pradesh
upper siang district,1486,8960,2019,3,arunachal-pradesh
kurung kumey district,572,8396,2019,3,arunachal-pradesh
siang district,948,13437,2019,3,arunachal-pradesh
kra daadi district,524,11363,2019,3,arunachal-pradesh
changlang district,8145,139098,2019,3,arunachal-pradesh
pakke kessang district,244,5099,2019,3,arunachal-pradesh
east siang district,8571,118071,2019,3,arunachal-pradesh
upper subansiri district,2748,35114,2019,3,arunachal-pradesh
tawang district,6553,114907,2019,3,arunachal-pradesh
namsai district,4563,72268,2019,3,arunachal-pradesh
lower subansiri district,3564,53396,2019,4,arunachal-pradesh
tirap district,3605,67097,2019,4,arunachal-pradesh
papum pare district,44746,670934,2019,4,arunachal-pradesh
anjaw district,1564,23729,2019,4,arunachal-pradesh
lower siang district,1921,28156,2019,4,arunachal-pradesh
dibang valley district,289,1738,2019,4,arunachal-pradesh
west kameng district,12562,313584,2019,4,arunachal-pradesh
shi yomi district,266,880,2019,4,arunachal-pradesh
east kameng district,1623,27850,2019,4,arunachal-pradesh
lohit district,7386,129353,2019,4,arunachal-pradesh
lepa rada district,1263,20798,2019,4,arunachal-pradesh
lower dibang valley district,3944,50034,2019,4,arunachal-pradesh
longding district,1847,48945,2019,4,arunachal-pradesh
