type,count,amount,name,from,to,year,quarter,state
TOTAL,1703488,317661277.3470997,Recharge & bill payments,1538332200000,1545935400000,2018,4,assam
TOTAL,1279089,5284776455.070784,Peer-to-peer payments,1538332200000,1545935400000,2018,4,assam
TOTAL,667293,240563395.2777939,Merchant payments,1538332200000,1545935400000,2018,4,assam
TOTAL,28035,6331912.52655252,Financial Services,1538332200000,1545935400000,2018,4,assam
TOTAL,56267,38689818.79087821,Others,1538332200000,1545935400000,2018,4,assam
TOTAL,1993220,400281677.94382846,Recharge & bill payments,1546281000000,1553711400000,2019,1,assam
TOTAL,1976310,7291433300.700247,Peer-to-peer payments,1546281000000,1553711400000,2019,1,assam
TOTAL,494871,266644645.74929428,Merchant payments,1546281000000,1553711400000,2019,1,assam
TOTAL,20162,4612454.1127945455,Financial Services,1546281000000,1553711400000,2019,1,assam
TOTAL,48442,39127457.944687635,Others,1546281000000,1553711400000,2019,1,assam
TOTAL,2512932,539315772.8606573,Recharge & bill payments,1554057000000,1561660200000,2019,2,assam
TOTAL,2293770,10035232820.852964,Peer-to-peer payments,1554057000000,1561660200000,2019,2,assam
