type,count,amount,name,year,quarter,state
TOTAL,6363,15285584.202916935,east siang district,2018,2,arunachal-pradesh
TOTAL,1285,2911910.3689207276,upper subansiri district,2018,2,arunachal-pradesh
TOTAL,522,1825297.4617279815,east kameng district,2018,2,arunachal-pradesh
TOTAL,6962,20520618.881890118,lohit district,2018,2,arunachal-pradesh
TOTAL,511,731444.7370576829,lepa rada district,2018,2,arunachal-pradesh
TOTAL,5447,13722374.811357912,tawang district,2018,2,arunachal-pradesh
TOTAL,3230,6271811.327635023,namsai district,2018,2,arunachal-pradesh
TOTAL,2824,6074558.207066888,lower dibang valley district,2018,3,arunachal-pradesh
TOTAL,2346,5154231.737357968,lower subansiri district,2018,3,arunachal-pradesh
TOTAL,5288,18327334.050755527,longding district,2018,3,arunachal-pradesh
TOTAL,3337,12966152.792519316,west siang district,2018,3,arunachal-pradesh
TOTAL,93,30504.94301319112,kamle district,2018,3,arunachal-pradesh
TOTAL,250,743956.1055720671,upper siang district,2018,3,arunachal-pradesh
TOTAL,3322,7479257.007852319,tirap district,2018,3,arunachal-pradesh
TOTAL,43282,101080479.2917223,papum pare district,2018,3,arunachal-pradesh
TOTAL,255,303027.4066451341,kurung kumey district,2018,3,arunachal-pradesh
TOTAL,13,95403.67678261214,anjaw district,2018,3,arunachal-pradesh
TOTAL,615,2141734.499956036,siang district,2018,3,arunachal-pradesh
TOTAL,2625,3045590.882295873,lower siang district,2018,3,arunachal-pradesh
TOTAL,436,1606758.4080739785,kra daadi district,2018,3,arunachal-pradesh
TOTAL,10162,20494174.949715402,changlang district,2018,3,arunachal-pradesh
TOTAL,165,305164.81707575504,pakke kessang district,2018,3,arunachal-pradesh
TOTAL,29,196466.66696677107,dibang valley district,2018,3,arunachal-pradesh
TOTAL,17026,48528147.45054105,west kameng district,2018,3,arunachal-pradesh
TOTAL,10539,24885270.773230057,east siang district,2018,3,arunachal-pradesh
TOTAL,1601,4223297.613673143,upper subansiri district,2018,3,arunachal-pradesh
TOTAL,1029,3132863.590645522,east kameng district,2018,3,arunachal-pradesh
TOTAL,11595,32702331.664437763,lohit district,2018,3,arunachal-pradesh
TOTAL,523,1777602.4370017413,lepa rada district,2018,3,arunachal-pradesh
TOTAL,8715,25733824.994109266,tawang district,2018,3,arunachal-pradesh
TOTAL,5076,10698272.774381302,namsai district,2018,3,arunachal-pradesh
TOTAL,4227,10951332.393937869,lower dibang valley district,2018,4,arunachal-pradesh
TOTAL,3735,8884930.591487257,lower subansiri district,2018,4,arunachal-pradesh
