entityName,metric.type,metric.count,metric.amount,year,quarter,state
744112,TOTAL,18915,55448543.43365714,2021,4,andaman-&-nicobar-islands
744301,TOTAL,14553,47792330.70050094,2021,4,andaman-&-nicobar-islands
visakhapatnam,TOTAL,1256469,1749966196.5049949,2018,1,andhra-pradesh
east godavari,TOTAL,943935,1235785515.5997267,2018,1,andhra-pradesh
krishna,TOTAL,863935,1284255179.6156201,2018,1,andhra-pradesh
chittoor,TOTAL,830324,1009621878.0870512,2018,1,andhra-pradesh
guntur,TOTAL,815932,1108686589.0266826,2018,1,andhra-pradesh
kurnool,TOTAL,679623,764905298.7350456,2018,1,andhra-pradesh
anantapur,TOTAL,638664,788830646.0324218,2018,1,andhra-pradesh
west godavari,TOTAL,577090,853547668.7532666,2018,1,andhra-pradesh
prakasam,TOTAL,534757,748990775.8676486,2018,1,andhra-pradesh
spsr nellore,TOTAL,531612,676643237.8069417,2018,1,andhra-pradesh
517501,TOTAL,110496,163487278.84449506,2018,1,andhra-pradesh
520001,TOTAL,96883,170605900.5466873,2018,1,andhra-pradesh
515001,TOTAL,92754,133522310.75704184,2018,1,andhra-pradesh
517507,TOTAL,88132,127450018.2101582,2018,1,andhra-pradesh
516001,TOTAL,84644,131194265.5243713,2018,1,andhra-pradesh
518502,TOTAL,82421,68040306.13881023,2018,1,andhra-pradesh
530016,TOTAL,81891,140880970.0990568,2018,1,andhra-pradesh
520010,TOTAL,69581,119009921.97401813,2018,1,andhra-pradesh
516360,TOTAL,68340,101612118.88480642,2018,1,andhra-pradesh
518501,TOTAL,68193,81006512.71677604,2018,1,andhra-pradesh
visakhapatnam,TOTAL,1641192,2987853607.2939095,2018,2,andhra-pradesh
krishna,TOTAL,1224987,2448141593.4919834,2018,2,andhra-pradesh
east godavari,TOTAL,1221677,2168914928.4239016,2018,2,andhra-pradesh
chittoor,TOTAL,1185723,1990419125.8937118,2018,2,andhra-pradesh
guntur,TOTAL,1088101,2108475811.785997,2018,2,andhra-pradesh
kurnool,TOTAL,968439,1531888665.6843233,2018,2,andhra-pradesh
anantapur,TOTAL,937023,1690366079.0557928,2018,2,andhra-pradesh
west godavari,TOTAL,786033,1688025212.3045943,2018,2,andhra-pradesh
spsr nellore,TOTAL,780454,1542057934.0108962,2018,2,andhra-pradesh
prakasam,TOTAL,739991,1571167562.1276274,2018,2,andhra-pradesh
